District,29-Dec,30-Dec,31-Dec,01-Jan,02-Jan
Thiruvananthapuram,L.,L to M,L to M,L.,No rain
Kollam,L.,L to M,L to M,L.,No rain
Pathanamthitta,L.,L to M,L to M,L.,No rain
Alappuzha,No rain,L.,L to M,L.,No rain
Kottayam,No rain,L.,L to M,No rain,No rain
Ernakulam,No rain,L.,L to M,No rain,No rain
Idukki,L.,L to M,L to M,No rain,No rain
Thrissur,No rain,L.,L.,No rain,No rain
Palakkad,No rain,L.,L.,No rain,No rain
Malappuram,No rain,No rain,No rain,No rain,No rain
Kozhikode,No rain,No rain,No rain,No rain,No rain
Wayanad,No rain,No rain,No rain,No rain,No rain
Kannur,No rain,No rain,No rain,No rain,No rain
Kasaragode,No rain,No rain,No rain,No rain,No rain
Lakshadweep,No rain,No rain,L to M,L to M,L to M
